124, 0, 160
170, -81, 170
220, -93, 196
220, -93, 196
248, -117, 228
320, -201, 271
406, -295, 450
461, -367, 623
525, -414, 797
593, -358, 1035
610, -228, 1280
596, -210, 1380
618, -225, 1711
618, -225, 1711
648, -139, 1953
649, -60, 1993
635, -67, 1986
712, -91, 1998
779, -26, 1998
835, 115, 1998
904, 179, 1998
936, 145, 1998
930, 127, 1998
930, 127, 1998
880, 64, 1998
817, 27, 1952
750, -10, 1834
690, -105, 1640
594, -203, 1474
485, -294, 1323
372, -425, 1041
242, -454, 719
167, -424, 514
167, -424, 514
87, -406, 390
49, -341, 284
23, -261, 266
18, -161, 219
32, -22, 124
32, -22, 124
38, 45, 39
41, 24, 11
44, 22, -10
44, 22, -10
38, 32, -33
34, 69, -96
34, 69, -96
52, 130, -128
68, 96, -138
81, 61, -72
81, 61, -72
100, 25, 15
121, -54, 111
135, -52, 144
145, -135, 221
145, -135, 221
179, -225, 418
216, -259, 613
238, -293, 784
278, -301, 1025
325, -327, 1364
376, -337, 1691
394, -275, 1808
436, -195, 1897
483, -206, 1997
563, -157, 1998
616, -67, 1998
666, 40, 1998
666, 40, 1998
705, 120, 1998
705, 100, 1998
678, 50, 1998
641, -4, 1998
595, -86, 1998
518, -211, 1957
518, -211, 1957
408, -325, 1655
294, -408, 1300
189, -445, 1000
104, -438, 681
53, -410, 398
-,-,-
103, 451, 514
135, 376, 493
118, 305, 372
141, 286, 310
141, 286, 310
129, 133, 292
128, 38, 393
160, -51, 463
190, -84, 380
190, -84, 380
190, -103, 255
218, -167, 280
266, -262, 466
302, -269, 656
347, -223, 613
375, -219, 548
425, -259, 827
425, -259, 827
510, -301, 1360
549, -253, 1574
554, -270, 1822
584, -158, 1994
575, -51, 1998
600, -1, 1998
633, -53, 1998
686, -33, 1998
707, 7, 1998
707, 7, 1998
660, -5, 1998
596, -53, 1998
548, -163, 1998
463, -252, 1901
387, -288, 1762
315, -348, 1499
241, -416, 1249
173, -427, 1086
142, -397, 917
142, -397, 917
115, -281, 690
93, -213, 495
80, -168, 439
75, -134, 348
60, -115, 281
30, -96, 151
30, -96, 151
14, -53, 77
6, -29, -5
-6, -19, -28
-6, -19, -28
-21, 40, 0
-28, 89, -14
-35, 98, -112
-35, 98, -112
-44, 81, -118
-37, 84, -67
-24, 110, -29
-9, 101, 56
-9, 101, 56
16, 2, 164
46, -64, 249
58, -110, 360
58, -110, 360
74, -182, 528
125, -227, 705
153, -299, 799
166, -350, 1013
206, -325, 1366
274, -333, 1582
327, -310, 1644
388, -266, 1823
433, -311, 1971
433, -311, 1971
528, -201, 1998
641, -129, 1998
736, -65, 1998
795, 45, 1998
790, 89, 1998
760, 67, 1998
736, 11, 1998
736, 11, 1998
678, -62, 1998
604, -150, 1998
542, -270, 1976
442, -391, 1869
333, -507, 1598
234, -527, 1175
169, -515, 818
-,-,-
160, 340, 763
124, 330, 597
150, 286, 404
150, 286, 404
165, 251, 317
190, 195, 378
192, 137, 462
197, 77, 501
197, 77, 501
195, 10, 448
201, -63, 443
214, -130, 480
201, -229, 519
223, -295, 687
223, -295, 746
220, -240, 746
213, -271, 687
227, -369, 878
216, -380, 1143
223, -274, 1228
247, -269, 1235
255, -375, 1570
235, -378, 1825
240, -252, 1824
292, -255, 1890
336, -322, 1998
378, -284, 1998
447, -203, 1998
447, -203, 1998
502, -220, 1998
510, -157, 1998
502, -116, 1998
524, -178, 1998
537, -239, 1998
481, -270, 1998
436, -306, 1883
358, -396, 1560
285, -456, 1260
198, -533, 990
132, -507, 713
57, -517, 477
11, -447, 286
11, -447, 286
2, -309, 185
0, -164, 202
16, -40, 186
18, 38, 78
18, 38, 78
3, 27, -48
-1, 2, -71
-1, 2, -71
-7, 19, -49
-9, 75, -67
-9, 75, -67
-14, 137, -171
-8, 167, -189
1, 120, -95
1, 120, -95
27, 84, -16
42, 87, 14
56, 46, 86
56, 46, 86
72, -90, 247
115, -169, 394
136, -162, 541
136, -162, 541
148, -204, 587
160, -358, 698
191, -420, 974
218, -332, 1128
218, -378, 1276
234, -430, 1445
279, -506, 1650
242, -651, 1835
243, -621, 1994
297, -578, 1998
324, -539, 1998
335, -511, 1998
335, -511, 1998
359, -507, 1998
417, -454, 1998
472, -400, 1998
488, -363, 1998
468, -391, 1998
440, -405, 1969
411, -452, 1866
368, -502, 1728
312, -516, 1453
242, -517, 1080
157, -520, 784
68, -452, 546
28, -418, 407
28, -418, 407
-,-,-
66, 224, 542
66, 224, 542
112, 278, 528
130, 252, 461
136, 167, 449
141, 67, 417
141, 67, 417
141, -46, 318
151, -133, 195
171, -176, 96
199, -201, 151
245, -246, 103
293, -360, 169
293, -360, 169
361, -480, 487
436, -457, 761
469, -487, 1046
464, -613, 1369
508, -559, 1689
560, -501, 1889
533, -603, 1995
606, -531, 1998
673, -506, 1998
738, -377, 1998
772, -237, 1998
798, -286, 1998
799, -280, 1998
799, -280, 1998
773, -278, 1998
698, -300, 1998
624, -401, 1969
551, -478, 1690
458, -530, 1340
376, -637, 1126
262, -670, 830
162, -638, 506
104, -544, 311
39, -462, 195
4, -372, 133
4, -372, 133
-14, -288, 89
-26, -140, 29
-19, -53, -4
-17, -58, -75
-17, -58, -75
-13, -46, -78
-10, 11, -93
11, 70, -97
31, 135, -103
31, 135, -103
38, 115, -93
71, 113, -39
100, 68, 46
100, 68, 46
109, -18, 80
133, -80, 95
164, -176, 231
171, -291, 369
192, -328, 450
192, -328, 450
229, -422, 679
246, -502, 1026
255, -468, 1201
268, -561, 1454
304, -597, 1762
341, -657, 1996
366, -584, 1998
406, -616, 1998
451, -560, 1998
510, -483, 1998
563, -412, 1998
603, -330, 1998
589, -338, 1998
551, -389, 1998
551, -389, 1998
508, -458, 1998
453, -552, 1866
378, -661, 1481
277, -687, 983
169, -656, 578
-,-,-
144, 217, 652
129, 340, 284
153, 273, 100
172, 129, 277
172, 129, 277
206, 79, 569
209, -57, 490
223, -151, 214
250, -191, 182
298, -256, 390
298, -256, 390
325, -305, 473
335, -395, 494
354, -517, 787
390, -469, 1028
406, -404, 1234
364, -462, 1462
355, -350, 1717
290, -397, 1818
324, -366, 1946
302, -416, 1998
336, -430, 1998
409, -393, 1998
443, -296, 1998
443, -296, 1998
476, -238, 1998
548, -223, 1998
583, -254, 1998
536, -214, 1998
511, -226, 1998
500, -304, 1998
454, -368, 1894
380, -391, 1575
289, -433, 1270
214, -453, 972
118, -505, 656
42, -509, 368
-3, -430, 267
-3, -430, 267
-27, -316, 237
-47, -236, 195
-48, -207, 157
-49, -204, 94
-35, -155, 37
-33, -88, -23
-33, -88, -23
-30, -69, -78
-23, -30, -97
-16, -16, -57
1, 23, -39
1, 23, -39
19, 19, -36
50, 17, 43
50, 17, 43
78, -38, 190
96, -102, 256
117, -171, 327
127, -273, 466
127, -273, 466
123, -276, 620
125, -391, 857
146, -408, 1102
140, -417, 1423
113, -327, 1679
107, -312, 1719
79, -415, 1747
99, -408, 1807
163, -440, 1966
216, -425, 1998
272, -277, 1998
272, -277, 1998
345, -194, 1998
426, -166, 1998
458, -146, 1998
476, -143, 1998
482, -157, 1998
454, -207, 1998
386, -302, 1991
304, -422, 1769
222, -584, 1496
120, -664, 1168
25, -706, 750
-32, -645, 445
-91, -523, 236
-91, -523, 236
-159, -357, 77
-,-,-
89, 237, 361
80, 94, 85
76, 11, 65
76, 11, 65
137, -25, 260
179, -60, 443
179, -122, 381
224, -129, 341
292, -168, 421
292, -168, 421
334, -205, 675
372, -159, 864
396, -173, 935
437, -150, 1140
474, -67, 1447
471, -61, 1581
479, -85, 1644
489, -65, 1667
484, -86, 1769
484, -86, 1769
537, -79, 1968
569, -129, 1998
620, 1, 1998
669, 107, 1998
692, 110, 1998
709, 86, 1998
691, 124, 1998
691, 124, 1998
668, 147, 1998
624, 103, 1998
548, 26, 1964
469, -91, 1711
377, -215, 1418
293, -322, 1156
193, -467, 878
95, -538, 563
95, -538, 563
17, -524, 353
-15, -456, 243
-43, -322, 240
-40, -177, 253
-24, -62, 154
-12, -25, 93
-12, -25, 93
-1, -5, 35
0, 13, -42
0, 13, -42
-1, 16, -60
5, 64, -48
5, 64, -48
11, 111, -60
22, 149, -13
44, 125, 46
44, 125, 46
59, 89, 92
52, 24, 136
67, -44, 275
67, -44, 275
96, -101, 430
116, -148, 513
109, -198, 550
108, -287, 700
134, -294, 961
134, -294, 961
162, -271, 1198
135, -350, 1318
143, -325, 1484
165, -320, 1665
127, -397, 1798
133, -399, 1950
162, -422, 1998
211, -408, 1998
234, -341, 1998
270, -319, 1998
315, -299, 1998
360, -247, 1998
369, -234, 1998
379, -205, 1998
382, -233, 1998
345, -306, 1984
345, -306, 1984
298, -319, 1784
257, -359, 1545
196, -413, 1274
118, -442, 981
52, -416, 725
0, -377, 475
-49, -379, 250
-78, -267, 166
-,-,-
81, 216, 408
133, 168, 449
102, 133, 301
102, 133, 301
120, 46, 329
136, -29, 416
170, -89, 439
179, -129, 329
203, -186, 412
203, -186, 412
243, -196, 577
292, -236, 575
324, -294, 580
366, -360, 835
396, -372, 1170
445, -322, 1274
495, -387, 1465
452, -440, 1689
474, -279, 1834
498, -294, 1959
507, -342, 1998
509, -275, 1998
509, -275, 1998
517, -248, 1998
567, -246, 1998
617, -223, 1998
603, -198, 1998
602, -222, 1998
596, -273, 1998
563, -277, 1951
512, -271, 1738
456, -352, 1560
396, -423, 1366
322, -449, 1186
265, -446, 1022
